"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8136.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8105.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8158.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8190.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8013.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8128.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8161.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8137.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8208.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8087.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8042.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8096.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8026.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8076.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8174.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8172.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8057.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8169.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8177.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8139.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8160.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8148.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8150.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8179.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8175.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8013.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8159.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8162.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8098.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8147.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8164.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8073.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8050.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8203.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8168.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8009.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8145.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8105.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8187.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8001.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8098.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8171.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8178.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8125.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8201.6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8202.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8129.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8167.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8126.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8052.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8188.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8131.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8007.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8016.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8069.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8189.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8113.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8164.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8060.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8154.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8165.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8200.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8194.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8137.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8201.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8199.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8161.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8127.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8210.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8163.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8036.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8214.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8171.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8168.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8173.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8093.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8109.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8185.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8038.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8206.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8034.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8061.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8121.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8023.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8026.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8163.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8060.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8190.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8008.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8165.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8213.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8008.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8072.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8151.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8096.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8148.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8014.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8101.6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8172.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8204.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8016.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8167.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8090.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8090.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8177.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8148.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8051.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8189.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8145.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8138.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8203.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8047.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8197.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8022.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8053.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8099.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8143.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8115.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8052.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8066.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8173.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8037.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8181.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8120.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8030.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8048.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8111.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8204.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8198.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8118.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8196.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8192.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8065.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8044.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8111.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8087.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8182.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8111.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8109.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8058.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8170.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8184.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8136.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8156.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8006.3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8017.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8064.5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8106.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8211.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8049.4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-8052>","Transcription profiling of lymphoblastoid cell lines from 404 human individuals to find determinants of susceptibility to childhood asthma","individual","8209.4"
